X,Y,Z,formation
0,10,-30,layer_1
0,50,-30,layer_1
0,90,-30,layer_1
20,10,-20,layer_1
20,50,-20,layer_1
20,90,-20,layer_1
40,10,-10,layer_1
40,50,-10,layer_1
40,90,-10,layer_1
60,10,-10,layer_1
60,50,-10,layer_1
60,90,-10,layer_1
80,10,-20,layer_1
80,50,-20,layer_1
80,90,-20,layer_1
100,10,-30,layer_1
100,50,-30,layer_1
100,90,-30,layer_1
0,10,-40,layer_2
0,50,-40,layer_2
0,90,-40,layer_2
20,10,-30,layer_2
20,50,-30,layer_2
20,90,-30,layer_2
40,10,-20,layer_2
40,50,-20,layer_2
40,90,-20,layer_2
60,10,-20,layer_2
60,50,-20,layer_2
60,90,-20,layer_2
80,10,-30,layer_2
80,50,-30,layer_2
80,90,-30,layer_2
100,10,-40,layer_2
100,50,-40,layer_2
100,90,-40,layer_2
