X,Y,Z,formation
0,0,-10,layer_1
10,0,-10.5,layer_1
20,0,-11,layer_1
30,0,-11.5,layer_1
40,0,-12,layer_1
70,0,-25,layer_1
40,0,-38,layer_1
30,0,-38.5,layer_1
20,0,-39,layer_1
10,0,-39.5,layer_1
0,0,-40,layer_1
0,20,-10,layer_1
10,20,-10.5,layer_1
20,20,-11,layer_1
30,20,-11.5,layer_1
40,20,-12,layer_1
70,20,-25,layer_1
40,20,-38,layer_1
30,20,-38.5,layer_1
20,20,-39,layer_1
10,20,-39.5,layer_1
0,20,-40,layer_1
0,50,-10,layer_1
10,50,-10.5,layer_1
20,50,-11,layer_1
30,50,-11.5,layer_1
40,50,-12,layer_1
70,50,-25,layer_1
40,50,-38,layer_1
30,50,-38.5,layer_1
20,50,-39,layer_1
10,50,-39.5,layer_1
0,50,-40,layer_1
0,80,-10,layer_1
10,80,-10.5,layer_1
20,80,-11,layer_1
30,80,-11.5,layer_1
40,80,-12,layer_1
70,80,-25,layer_1
40,80,-38,layer_1
30,80,-38.5,layer_1
20,80,-39,layer_1
10,80,-39.5,layer_1
0,80,-40,layer_1
0,100,-10,layer_1
10,100,-10.5,layer_1
20,100,-11,layer_1
30,100,-11.5,layer_1
40,100,-12,layer_1
70,100,-25,layer_1
40,100,-38,layer_1
30,100,-38.5,layer_1
20,100,-39,layer_1
10,100,-39.5,layer_1
0,100,-40,layer_1
0,0,-20,layer_2
10,0,-20.5,layer_2
20,0,-21,layer_2
30,0,-21.5,layer_2
40,0,-22,layer_2
40,0,-28,layer_2
30,0,-28.5,layer_2
20,0,-29,layer_2
10,0,-29.5,layer_2
0,0,-30,layer_2
0,20,-20,layer_2
10,20,-20.5,layer_2
20,20,-21,layer_2
30,20,-21.5,layer_2
40,20,-22,layer_2
40,20,-28,layer_2
30,20,-28.5,layer_2
20,20,-29,layer_2
10,20,-29.5,layer_2
0,20,-30,layer_2
0,50,-20,layer_2
10,50,-20.5,layer_2
20,50,-21,layer_2
30,50,-21.5,layer_2
40,50,-22,layer_2
40,50,-28,layer_2
30,50,-28.5,layer_2
20,50,-29,layer_2
10,50,-29.5,layer_2
0,50,-30,layer_2
0,80,-20,layer_2
10,80,-20.5,layer_2
20,80,-21,layer_2
30,80,-21.5,layer_2
40,80,-22,layer_2
40,80,-28,layer_2
30,80,-28.5,layer_2
20,80,-29,layer_2
10,80,-29.5,layer_2
0,80,-30,layer_2
0,100,-20,layer_2
10,100,-20.5,layer_2
20,100,-21,layer_2
30,100,-21.5,layer_2
40,100,-22,layer_2
40,100,-28,layer_2
30,100,-28.5,layer_2
20,100,-29,layer_2
10,100,-29.5,layer_2
0,100,-30,layer_2
